temperature,conductivity,error_down,error_up
23.1,8e-07,2e-07,5e-07
23.7,8e-07,6e-07,5e-07
23.8,1.2e-06,2e-07,5e-07
24.2,7e-07,2e-07,5e-07
24.5,7e-07,7e-07,5e-07
25.1,7e-07,2e-07,5e-07
25.6,1.2e-06,6e-07,5e-07
26,1.4e-06,2e-07,5e-07
26.5,1.5e-06,2e-07,5e-07
27,1.3e-06,2e-07,5e-07
27.5,1e-06,2e-07,5e-07
28,1e-06,2e-07,5e-07
28.5,1e-06,2e-07,5e-07
29,1.2e-06,2e-07,5e-07
29.5,1e-06,2e-07,5e-07
30.5,1e-06,2e-07,5e-07
31,8e-07,2e-07,5e-07
33,9e-07,2e-07,5e-07
34,9e-07,2e-07,3e-07
35.8,1.1e-06,2e-07,3e-07
36.5,1e-06,2e-07,3e-07
37.1,1e-06,2e-07,3e-07
38,1e-06,2e-07,3e-07
38.5,1e-06,2e-07,3e-07
39,1.1e-06,2e-07,3e-07
40.2,1e-06,2e-07,3e-07
41,1e-06,2e-07,3e-07
41.5,1.1e-06,2e-07,3e-07
42,1.1e-06,2e-07,3e-07
42.5,1.2e-06,2e-07,3e-07
43.2,1.2e-06,2e-07,3e-07
43.5,1.2e-06,2e-07,3e-07
44,1.2e-06,2e-07,3e-07
44.5,1.2e-06,2e-07,3e-07
45,1.3e-06,2e-07,3e-07
45.5,1.3e-06,2e-07,3e-07
46,1.3e-06,2e-07,3e-07
46.5,1.3e-06,2e-07,3e-07
47.5,1.3e-06,2e-07,3e-07
48,1.3e-06,2e-07,3e-07
48.5,1.3e-06,2e-07,3e-07
49,1.3e-06,2e-07,3e-07
50,1.3e-06,2e-07,3e-07
50.5,1.4e-06,2e-07,3e-07
51,1.4e-06,2e-07,3e-07
52,1.4e-06,2e-07,3e-07
54,1.4e-06,2e-07,3e-07
56,1.5e-06,2e-07,3e-07
57,1.5e-06,2e-07,3e-07
58,1.5e-06,2e-07,3e-07
59,1.5e-06,2e-07,3e-07
60,1.5e-06,2e-07,3e-07
61.5,1.6e-06,2e-07,3e-07
62,1.6e-06,3e-07,4e-07
63,1.8e-06,3e-07,4e-07
64,1.7e-06,3e-07,4e-07
65,1.6e-06,3e-07,4e-07
66,1.7e-06,3e-07,4e-07
67,1.7e-06,3e-07,4e-07
68,1.8e-06,3e-07,4e-07
69,1.7e-06,3e-07,4e-07
70,1.9e-06,3e-07,4e-07
71,1.9e-06,3e-07,4e-07
72,1.9e-06,3e-07,4e-07
73,2e-06,3e-07,4e-07
73.1,2.2e-06,3e-07,4e-07
74,2.1e-06,3e-07,4e-07
75,2.2e-06,3e-07,4e-07
76,2.2e-06,3e-07,4e-07
77.5,2.2e-06,3e-07,4e-07
78,2.3e-06,3e-07,4e-07
79,2.3e-06,3e-07,4e-07
80,2.5e-06,3e-07,4e-07
81,2.4e-06,1.2e-06,4e-07
81,2.6e-06,1.2e-06,4e-07
82.5,2.5e-06,1.2e-06,4e-07
83,2.6e-06,1.2e-06,4e-07
84,2.5e-06,4e-07,4e-07
85,2.6e-06,4e-07,4e-07
86,2.7e-06,4e-07,4e-07
87,2.7e-06,4e-07,4e-07
88,2.8e-06,4e-07,4e-07
88.5,3e-06,4e-07,4e-07
89,3e-06,4e-07,4e-07
90,2.9e-06,4e-07,4e-07
91,2.9e-06,4e-07,4e-07
91,3e-06,4e-07,4e-07
92,3.2e-06,4e-07,4e-07
93,3e-06,4e-07,4e-07
94.1,3.2e-06,4e-07,4e-07
94,3.5e-06,4e-07,4e-07
95,3.3e-06,4e-07,4e-07
96,3.3e-06,4e-07,4e-07
97,3.5e-06,4e-07,4e-07
97.6,3.8e-06,4e-07,4e-07
98,3.9e-06,4e-07,4e-07
98.4,4e-06,4e-07,4e-07
98.6,4.1e-06,4e-07,4e-07
98.7,4.2e-06,3e-07,4e-07
,,,
